City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Punta Arenas,90,CL,1613822337,62,-53.15,-70.9167,53.6,26.46
Cape Town,40,ZA,1613822588,43,-33.9258,18.4232,73.99,11.5
Saint Paul Harbor,90,US,1613822589,80,57.79,-152.4072,28.4,10.36
Albany,40,US,1613822408,86,42.6001,-73.9662,18.0,5.75
Port Hardy,75,CA,1613822591,93,50.6996,-127.4199,39.2,6.91
Oxelösund,75,SE,1613822592,87,58.6706,17.1015,39.2,6.91
Hermanus,7,ZA,1613822593,49,-34.4187,19.2345,73.0,10.0
Yar-Sale,100,RU,1613822593,86,66.8333,70.8333,-24.68,9.62
Kapaa,75,US,1613822594,83,22.0752,-159.319,73.4,14.97
Jamestown,90,US,1613822595,85,42.097,-79.2353,15.01,9.22
Rakhiv,32,UA,1613822596,81,48.0526,24.2009,41.0,3.44
Mehamn,3,NO,1613822596,86,71.0357,27.8492,12.54,14.61
Njeru,95,UG,1613822360,38,0.4186,33.1731,81.37,4.23
Stephenville,1,US,1613822598,93,32.2207,-98.2023,28.0,4.61
Thompson,40,CA,1613822598,84,55.7435,-97.8558,-2.2,4.61
Strezhevoy,0,RU,1613822599,70,60.7333,77.5889,-14.8,2.24
Rikitea,82,PF,1613822600,69,-23.1203,-134.9692,78.67,5.97
Imbituba,0,BR,1613822585,69,-28.24,-48.6703,78.8,3.44
Clyde River,1,CA,1613822601,62,70.4692,-68.5914,-27.4,4.61
Haines Junction,99,CA,1613822602,65,60.7522,-137.5108,-2.2,6.91
Qaqortoq,75,GL,1613822603,73,60.7167,-46.0333,21.2,2.26
Pierre,1,US,1613822331,85,44.3683,-100.351,8.6,3.44
Igarka,92,RU,1613822604,85,67.4667,86.5833,-24.61,4.16
Gīdam,65,IN,1613822604,28,18.9833,81.4,82.74,6.49
Wenling,0,CN,1613822605,77,28.3669,121.36,54.97,7.38
Chokurdakh,5,RU,1613822606,84,70.6333,147.9167,-32.94,4.41
Carnarvon,23,AU,1613822607,83,-24.8667,113.6333,82.4,12.66
Cedro,99,BR,1613822608,65,-6.6067,-39.0622,82.2,0.92
Katete,100,UG,1613822608,40,-0.7818,29.7544,81.75,6.55
Avarua,75,CK,1613822609,94,-21.2078,-159.775,75.2,6.91
Shimoda,0,JP,1613822610,49,34.6667,138.95,51.01,3.0
Tiksi,77,RU,1613822611,85,71.6872,128.8694,-30.89,1.7
Coquimbo,75,CL,1613822611,82,-29.9533,-71.3436,60.8,3.44
Vestmannaeyjar,40,IS,1613822612,87,63.4427,-20.2734,42.8,23.02
Walvis Bay,5,NA,1613822597,60,-22.9575,14.5053,71.6,8.05
Pennāgaram,94,IN,1613822614,52,12.1333,77.9,81.5,8.01
Trzebiatów,99,PL,1613822614,68,54.0615,15.2648,46.0,13.91
Oranjemund,0,NA,1613822615,59,-28.55,16.4333,68.74,21.65
Riyadh,75,SA,1613822423,51,24.6877,46.7219,57.2,10.36
Hobart,75,AU,1613822610,94,-42.8794,147.3294,61.0,8.05
Escárcega,100,MX,1613822617,74,18.6089,-90.7454,64.72,3.06
Roald,75,NO,1613822618,81,62.5833,6.1333,45.0,10.36
Luwuk,97,ID,1613822618,66,-0.9516,122.7875,79.97,4.41
Waitati,0,NZ,1613822619,85,-45.75,170.5667,57.0,3.0
Faya,40,SA,1613822620,77,18.3851,42.4509,62.6,20.71
Hashtrūd,100,IR,1613822620,92,37.4779,47.0508,32.31,9.19
Labuan,20,MY,1613822621,78,5.2767,115.2417,80.6,8.05
Lompoc,1,US,1613822622,87,34.6391,-120.4579,50.0,9.22
Mataura,17,NZ,1613822622,89,-46.1927,168.8643,54.0,1.99
Antofagasta,0,CL,1613822339,88,-23.65,-70.4,60.8,4.61
Hilo,90,US,1613822623,88,19.7297,-155.09,68.0,4.61
Lianzhou,0,CN,1613822624,57,24.7811,112.3825,66.97,1.95
Hofn,100,IS,1613822625,84,64.2539,-15.2082,41.36,1.5
Mergen,6,CN,1613822625,89,49.1833,125.2167,1.63,3.31
Beringovskiy,34,RU,1613822626,84,63.05,179.3167,-20.11,10.09
Dikson,99,RU,1613822627,89,73.5069,80.5464,-15.11,7.58
Daşoguz,0,TM,1613822531,64,41.8363,59.9666,35.6,4.61
Kaputa,100,ZM,1613822628,70,-8.4689,29.6619,79.02,2.26
Slave Lake,90,CA,1613822629,47,55.2834,-114.769,33.8,16.11
Havelock,22,US,1613821887,93,34.8791,-76.9013,34.0,3.0
Elizabeth City,1,US,1613822631,80,36.2946,-76.2511,30.2,8.05
Vaini,75,TO,1613822632,78,-21.2,-175.2,77.0,11.5
San Nicolas,40,PH,1613822633,69,18.1725,120.5953,75.2,3.44
New Norfolk,68,AU,1613822633,75,-42.7826,147.0587,61.0,1.63
Port Elizabeth,20,ZA,1613822634,57,-33.918,25.5701,77.0,23.02
Margate,48,GB,1613822522,60,51.3813,1.3862,57.0,3.0
Poum,51,NC,1613822635,77,-20.2333,164.0167,83.43,9.78
Mugango,40,TZ,1613822636,54,-1.6833,33.7,80.6,11.5
San Patricio,20,US,1613822637,86,28.017,-97.5169,33.8,4.61
Snezhnogorsk,40,RU,1613822637,78,69.1933,33.2531,-0.4,7.27
Autun,0,FR,1613822638,55,46.95,4.3,62.01,18.41
Sibolga,59,ID,1613822638,77,1.7427,98.7792,79.84,1.97
George Town,20,MY,1613822639,48,5.4112,100.3354,87.8,9.22
Kruisfontein,94,ZA,1613822057,63,-34.0033,24.7314,73.99,8.99
Nikolskoye,40,RU,1613822640,73,59.7035,30.7861,19.4,11.18
Sulangan,100,PH,1613822641,75,11.1373,123.7228,78.58,26.98
Kavieng,0,PG,1613822642,80,-2.5744,150.7967,83.23,12.39
Dali,100,CN,1613822643,51,25.7,100.1833,54.28,6.82
San Andrés,20,CO,1613822601,74,12.5847,-81.7006,80.6,11.5
Geraldton,0,AU,1613822447,73,-28.7667,114.6,73.4,14.97
Tuktoyaktuk,99,CA,1613822645,88,69.4541,-133.0374,-19.98,7.61
Ogulin,40,HR,1613822646,76,45.2661,15.2286,62.01,3.44
Tessalit,21,ML,1613822546,10,20.1986,1.0114,85.42,13.35
Havre-St-Pierre,90,CA,1613822648,77,50.2334,-63.5986,-9.4,8.21
Bluff,10,NZ,1613822479,89,-46.6,168.3333,54.0,1.99
Katsuura,0,JP,1613822650,44,35.1333,140.3,59.0,19.57
Mundo Nuevo (Ojo de Agua),100,MX,1613822650,81,18.7,-95.5,63.54,13.82
Vila Franca do Campo,20,PT,1613822651,66,37.7167,-25.4333,53.6,10.36
Nemuro,89,JP,1613822652,83,43.3236,145.575,35.13,25.03
Alofi,100,NU,1613822653,100,-19.0595,-169.9187,75.2,10.36
Hede,0,CN,1613822653,54,33.7681,120.2517,58.44,11.07
Marawi,100,PH,1613822654,88,7.9986,124.2928,73.99,4.0
Klaksvík,20,FO,1613822655,87,62.2266,-6.589,46.4,10.36
Araripe,83,BR,1613822656,68,-7.2125,-40.0461,76.14,5.77
Yellowknife,90,CA,1613822410,85,62.456,-114.3525,1.4,9.22
Kondagaon,71,IN,1613822658,32,19.6,81.6667,79.86,5.41
Port Lincoln,0,AU,1613822658,79,-34.7333,135.8667,61.45,14.7
Caraz,42,PE,1613822660,35,-9.0486,-77.81,59.68,1.32
Pisco,5,PE,1613822660,82,-13.7,-76.2167,64.99,2.3
Salalah,20,OM,1613822656,57,17.0151,54.0924,78.8,6.91
Naze,0,JP,1613822662,60,28.3667,129.4833,56.84,5.1
Ankazoabo,5,MG,1613822662,51,-22.2833,44.5167,91.53,6.73
Shamil’kala,90,RU,1613822663,93,42.6858,46.8639,32.0,4.47
Natal,75,BR,1613822390,78,-5.795,-35.2094,82.4,12.66
Ouadda,73,CF,1613822665,11,8.0777,22.4007,101.05,3.06
Palu,85,ID,1613822665,82,-0.8917,119.8707,75.36,0.87
São João da Barra,75,BR,1613822666,83,-21.6403,-41.0511,78.8,6.91
Sur,0,OM,1613822667,36,22.5667,59.5289,79.03,9.15
Zemio,61,CF,1613822667,10,5.0314,25.1361,100.13,4.52
Ribeira Grande,40,PT,1613822668,66,38.5167,-28.7,53.6,18.41
Metu,63,ET,1613822670,33,8.3,35.5833,76.3,6.46
Dalaba,58,GN,1613822670,31,10.7,-12.25,85.37,4.85
San Policarpo,100,PH,1613822671,84,12.1791,125.5072,77.49,22.66
Dalby,88,AU,1613822671,62,-27.1833,151.2667,70.0,6.76
Boralday,90,KZ,1613822672,93,43.3578,76.8594,35.6,6.71
Petropavlovsk-Kamchatskiy,1,RU,1613822593,67,53.0452,158.6483,17.6,6.71
Baghlan,87,AF,1613822674,48,36.1307,68.7083,54.23,4.59
Bara,71,NG,1613822675,15,10.3744,10.7288,78.8,5.75
San Luis,0,AR,1613822556,56,-33.295,-66.3356,70.3,11.3
Noumea,0,NC,1613822676,83,-22.2763,166.4572,84.0,1.14
Torbay,75,CA,1613822635,79,47.6666,-52.7314,24.01,6.91
Lebu,0,CL,1613822677,64,-37.6167,-73.65,53.82,14.18
Gravdal,40,NO,1613822678,74,68.1214,13.5031,32.0,6.91
Dunedin,0,NZ,1613822679,89,-45.8742,170.5036,57.0,4.0
Fukuechō,0,JP,1613822679,67,32.6881,128.8419,60.35,21.56
Arrondissement de Vesoul,0,FR,1613822680,51,47.5833,5.8333,62.01,8.05
Norman Wells,90,CA,1613822680,70,65.282,-126.8329,-14.8,9.22
Nome,0,US,1613822681,76,64.5011,-165.4064,-18.4,5.84
Leningradskiy,100,RU,1613822682,88,69.3833,178.4167,-12.71,8.57
San Jose,75,US,1613822600,81,37.3394,-121.895,48.99,8.05
Nishifukuma,20,JP,1613822683,72,33.7667,130.4667,57.2,8.05
Tsiroanomandidy,79,MG,1613822684,66,-18.7667,46.0333,82.72,6.38
Port Alfred,99,ZA,1613822684,79,-33.5906,26.891,77.0,7.0
Ponta do Sol,100,PT,1613822685,87,32.6667,-17.1,55.99,5.99
Sept-Îles,75,CA,1613822686,61,50.2001,-66.3821,8.6,8.05
Sabha,0,LY,1613822686,19,27.0377,14.4283,71.2,5.53
Airai,100,TL,1613822687,100,-8.9266,125.4092,61.16,1.72
Mbanza-Ngungu,100,CD,1613822688,77,-5.25,14.8667,76.26,4.23
Morehead,1,US,1613822688,78,37.2711,-87.1764,3.2,4.12
Agadez,97,NE,1613822689,18,19.75,10.25,73.27,8.79
Chui,0,UY,1613822689,72,-33.6971,-53.4616,68.27,4.45
San Miguel de Tucumán,90,AR,1613822636,100,-26.8241,-65.2226,64.4,6.91
Kaeo,0,NZ,1613822691,92,-35.1,173.7833,57.0,2.68
Mocajuba,54,BR,1613822691,89,-2.5842,-49.5072,76.6,3.2
Montilla,0,ES,1613822692,67,37.5863,-4.6381,60.8,5.75
Jamame,91,SO,1613822693,49,0.0722,42.7506,90.46,14.16
Skellefteå,90,SE,1613822694,93,64.7507,20.9528,24.01,9.22
Namatanai,10,PG,1613822695,78,-3.6667,152.4333,81.72,6.62
Virginia Beach,40,US,1613822420,60,36.8529,-75.978,33.8,10.36
Honiara,99,SB,1613822696,80,-9.4333,159.95,79.48,3.04
Mar del Plata,0,AR,1613822696,55,-38.0023,-57.5575,64.99,11.5
Soyo,40,AO,1613822697,70,-6.1349,12.3689,86.0,6.91
Waipawa,75,NZ,1613822698,77,-41.4122,175.5153,62.6,23.02
Moussoro,0,TD,1613822524,12,13.6408,16.4901,83.1,14.97
Kiryat Gat,19,IL,1613822527,56,31.61,34.7642,63.0,11.74
Flinders,8,AU,1613822700,100,-34.5833,150.8552,71.01,3.44
Dingle,100,PH,1613822701,79,10.9995,122.6711,72.75,10.27
Partenit,55,UA,1613822702,49,44.578,34.3446,35.01,2.57
Lata,100,PT,1613822703,89,40.1629,-8.3327,57.0,5.01
Kieta,51,PG,1613822704,77,-6.2167,155.6333,81.82,3.42
Saint George,1,US,1613822623,37,37.1041,-113.5841,33.8,3.44
Vila,100,PT,1613822706,93,42.0304,-8.1588,53.01,10.0
Hambantota,40,LK,1613822707,70,6.1241,81.1185,87.8,6.91
Jablah,40,SY,1613822707,44,35.3614,35.9256,57.2,9.22
Kachīry,53,KZ,1613822708,89,53.0675,76.1036,-7.78,7.45
Vao,100,NC,1613822709,86,-22.6667,167.4833,79.72,19.17
Cidreira,0,BR,1613822711,61,-30.1811,-50.2056,74.5,6.58
Gayny,98,RU,1613822711,91,60.3071,54.3241,-0.8,3.04
Vardø,40,NO,1613822712,62,70.3705,31.1107,15.8,9.22
Białystok,100,PL,1613822713,83,53.1333,23.15,37.99,6.15
Ngunguru,0,NZ,1613822714,92,-35.6167,174.5,57.0,5.12
Killybegs,90,IE,1613822714,93,54.6333,-8.45,50.0,18.41
Upernavik,99,GL,1613822715,86,72.7868,-56.1549,-20.97,13.94
Bengkulu,98,ID,1613822716,85,-3.8004,102.2655,78.51,4.97
Corning,40,US,1613822717,68,42.1428,-77.0547,19.4,9.22
Pangnirtung,81,CA,1613822718,74,66.1451,-65.7125,-25.38,1.57
Butterworth,20,MY,1613822719,48,5.3991,100.3638,87.8,9.22
Boden,90,SE,1613822700,92,65.8252,21.6886,15.8,9.22
Manama,0,BH,1613822721,55,26.2154,50.5832,66.2,14.97
Morgan City,1,US,1613822722,100,29.6994,-91.2068,28.99,6.91
Sacramento,40,US,1613822517,93,38.4666,-121.3177,46.0,8.05
Wanning,19,CN,1613822724,72,18.8003,110.3967,66.2,5.79
Kadoma,0,JP,1613822702,66,34.7333,135.5833,55.0,3.44
Samarai,11,PG,1613822725,76,-10.6167,150.6667,83.34,1.01
Qaanaaq,6,GL,1613822726,78,77.484,-69.3632,-31.29,1.21
Naro-Fominsk,0,RU,1613822546,49,55.3875,36.7331,21.2,2.24
Yulara,90,AU,1613822504,24,-25.2406,130.9889,95.0,11.5
Gizo Government Station,85,SB,1613822728,73,-8.103,156.8419,83.16,1.28
Kuah,20,MY,1613822729,51,6.3265,99.8432,87.8,12.66
Severo-Kuril'sk,67,RU,1613822730,94,50.6789,156.125,27.61,10.76
Port Hedland,44,AU,1613822731,79,-20.3167,118.5667,86.0,10.36
Sisimiut,61,GL,1613822731,88,66.9395,-53.6735,-5.44,9.1
Rome,90,US,1613822732,86,43.2128,-75.4557,19.4,4.61
Santa Rosa,75,PH,1613822732,57,14.3122,121.1114,77.0,9.22
Belmonte,75,BR,1613822733,74,-15.8631,-38.8828,80.6,12.66
Zaraza,54,VE,1613822471,74,9.3503,-65.3245,74.97,5.82
La Montañita,100,CO,1613822734,73,1.4766,-75.4398,74.64,3.02
Zhangjiakou,26,CN,1613822735,43,40.81,114.8794,45.66,7.99
Bemidji,1,US,1613822736,85,47.4736,-94.8803,1.99,4.61
Necochea,6,AR,1613822736,58,-38.5473,-58.7368,64.0,3.0
Pokhara,0,NP,1613822582,30,28.2333,83.9833,68.74,3.85
Chernoyerkovskaya,40,RU,1613822738,56,45.4331,37.7686,42.8,8.95
Daoukro,40,CI,1613822738,32,7.0591,-3.9631,96.6,1.59
Saldanha,0,ZA,1613822739,43,-33.0117,17.9442,73.4,9.22
La Ronge,96,CA,1613822589,92,55.1001,-105.2842,10.4,4.61
Tete,75,MZ,1613822740,55,-16.1564,33.5867,89.6,5.75
Ostrovnoy,33,RU,1613822741,87,68.0531,39.5131,-6.18,4.88
Chara,6,RU,1613822742,78,56.9064,118.2631,-20.7,0.98
Okha,100,RU,1613822742,97,53.5739,142.9478,16.65,10.27
Sitka,90,US,1613822743,75,57.0531,-135.33,37.4,8.05
Codrington,13,AU,1613822744,84,-38.2667,141.9667,58.66,6.44
Lavrentiya,92,RU,1613822744,88,65.5833,-171.0,-15.48,3.85
Hasaki,0,JP,1613822745,54,35.7333,140.8333,52.0,5.75
Victor Harbor,37,AU,1613822746,75,-35.5667,138.6167,64.0,3.0
Pevek,67,RU,1613822747,87,69.7008,170.3133,-24.72,4.72
São Filipe,36,CV,1613822747,66,14.8961,-24.4956,73.45,5.93
Hamilton,90,US,1613822546,73,39.1834,-84.5333,17.6,4.61
Olafsvik,93,IS,1613822750,84,64.8945,-23.7142,37.49,21.09
Young,0,UY,1613822484,52,-32.6833,-57.6333,69.01,3.0
Solnechnyy,100,RU,1613822751,90,50.7214,136.6319,4.41,6.93
Brigantine,90,US,1613822752,80,39.4101,-74.3646,28.99,12.66
Amurzet,53,RU,1613822753,90,47.6967,131.0981,3.97,7.05
Simao,98,CN,1613822754,88,22.7886,100.9748,58.08,2.04
Los Llanos de Aridane,20,ES,1613822724,77,28.6585,-17.9182,68.0,23.02
Hirara,75,JP,1613822755,72,24.8,125.2833,59.0,4.61
Lagoa,67,PT,1613822756,66,39.05,-27.9833,51.87,18.54
Berlevåg,0,NO,1613822756,83,70.8578,29.0864,16.39,16.51
Ranong,20,TH,1613822757,58,9.9658,98.6348,86.0,11.5
Bubaque,65,GW,1613822758,52,11.2833,-15.8333,79.92,8.93
Lesnoy,100,RU,1613822758,92,57.6198,63.0784,-1.55,2.37
Dzhebariki-Khaya,96,RU,1613822759,85,62.2167,135.8,-22.29,1.83
Dawlatabad,51,AF,1613822760,53,36.4141,64.9053,51.42,12.46
Arraial do Cabo,20,BR,1613822760,83,-22.9661,-42.0278,82.4,8.05
Longyearbyen,40,SJ,1613822761,68,78.2186,15.6401,23.0,14.97
Dingli,20,MT,1613822762,72,35.8614,14.3822,63.0,10.36
Kutum,13,SD,1613822763,17,14.2,24.6667,74.77,9.73
Erenhot,90,CN,1613822589,64,43.6475,111.9767,38.26,15.3
Eyl,100,SO,1613822764,55,7.9803,49.8164,81.93,25.77
Yeppoon,8,AU,1613822764,78,-23.1333,150.7333,75.2,1.14
Esik,90,KZ,1613822765,93,43.3552,77.4525,35.6,6.71
Khovd,0,MN,1613822766,68,48.0056,91.6419,34.88,17.22
Kudahuvadhoo,41,MV,1613822767,75,2.6708,72.8944,81.81,12.01
Carambeí,76,BR,1613822767,89,-24.9178,-50.0972,64.58,5.46
Caravelas,100,BR,1613822768,74,-17.7125,-39.2481,81.14,11.25
Aklavik,98,CA,1613822769,76,68.2191,-135.0107,-22.0,1.14
Druzhba,99,UA,1613822770,96,52.0428,33.9453,16.77,8.61
Leeton,34,AU,1613822770,44,-34.5667,146.4,78.8,6.4
Gimli,94,CA,1613822771,84,50.6336,-96.9907,-2.2,13.8
Santa Vitória do Palmar,1,BR,1613822772,75,-33.5189,-53.3681,68.56,4.27
Mnogovershinnyy,100,RU,1613822772,95,53.9353,139.9242,3.78,5.12
Rabo de Peixe,20,PT,1613822773,66,37.8,-25.5833,53.6,10.36
Ketchikan,90,US,1613822774,100,55.3422,-131.6461,33.8,8.05
Brae,20,GB,1613822774,87,60.3964,-1.353,48.2,9.22
Mairwa,0,IN,1613822775,35,26.2333,84.15,74.61,4.65
Ambovombe,10,MG,1613822776,62,-25.1667,46.0833,87.4,11.68
Taoudenni,5,ML,1613822777,11,22.6783,-3.9836,92.1,10.74
Märsta,75,SE,1613822777,93,59.6216,17.8548,39.0,13.8
Saskylakh,96,RU,1613822778,85,71.9167,114.0833,-22.38,6.82
Talcahuano,0,CL,1613822715,58,-36.7167,-73.1167,55.4,5.75
Moree,41,AU,1613822483,39,-29.4667,149.85,80.6,11.5
Redcliffe,75,AU,1613822780,88,-27.2307,153.0973,75.99,5.75
Pedernales,0,DO,1613822781,51,18.0384,-71.744,75.52,4.47
Opuwo,78,NA,1613822781,28,-18.0607,13.84,85.06,6.89
Türkan,90,AZ,1613822782,93,40.3639,50.215,42.8,20.71
Xining,1,CN,1613822782,42,36.6167,101.7667,39.9,2.89
Jaqué,58,PA,1613822784,85,7.5175,-78.1703,75.27,6.67
Goderich,100,CA,1613822535,93,43.7501,-81.7165,23.0,11.5
Meulaboh,58,ID,1613822785,78,4.1363,96.1285,81.57,4.59
Yumen,100,CN,1613822786,40,40.2833,97.2,46.09,17.22
Taltal,28,CL,1613822540,64,-25.4,-70.4833,68.07,3.98
Faanui,37,PF,1613822787,77,-16.4833,-151.75,81.54,16.26
Chesma,100,RU,1613822788,91,53.8111,60.6533,1.94,12.21
Mossendjo,89,CG,1613822789,53,-2.9506,12.7261,86.07,3.38
Ereymentau,48,KZ,1613822789,90,51.6199,73.1033,-1.17,12.24
Egvekinot,0,RU,1613822790,77,66.3167,-179.1667,-14.04,5.84
Esperance,0,AU,1613822791,72,-33.8667,121.9,64.4,12.66
Turaif,40,SA,1613822792,54,31.6725,38.6637,53.6,13.8
Kousséri,0,CM,1613822793,9,12.0769,15.0306,82.4,11.5
Wainwright,0,CA,1613822793,62,52.839,-110.8572,17.6,10.36
South Bend,1,US,1613822597,78,41.6834,-86.25,8.01,4.61
San Lorenzo,0,PY,1613822795,61,-25.3333,-57.5333,78.8,5.75
Arica,75,CL,1613822769,68,-18.475,-70.3042,69.8,2.3
Ayan,100,RU,1613822796,84,56.45,138.1667,2.26,9.17
Laguna,1,US,1613822797,81,38.421,-121.4238,46.0,3.44
Versmold,0,DE,1613822797,63,52.05,8.15,62.01,10.36
Iquitos,75,PE,1613822798,100,-3.7481,-73.2472,75.2,1.28
Mocuba,93,MZ,1613822799,55,-16.8392,36.9856,93.2,2.77
Mormugao,75,IN,1613822800,54,15.4,73.8,84.2,11.5
Girvan,40,GB,1613822801,87,55.2426,-4.8555,51.8,23.02
Namtsy,0,RU,1613822802,68,62.7161,129.6658,-31.0,4.47
Moses Lake,90,US,1613822803,80,47.1301,-119.2781,30.2,2.57
Chapais,75,CA,1613822601,77,49.7834,-74.8492,-4.0,3.44
Kysyl-Syr,98,RU,1613822804,85,63.8986,122.7617,-26.9,2.46
Tokur,99,RU,1613822805,92,53.1333,132.9,-7.55,3.0
Bambous Virieux,40,MU,1613822806,74,-20.3428,57.7575,86.0,16.11
Shache,64,CN,1613822806,33,38.4167,77.2406,54.43,8.9
Cascais,75,PT,1613822807,100,38.6979,-9.4215,59.0,20.71
Anchorage,1,US,1613822724,71,61.2181,-149.9003,3.0,6.82
Anadyr,40,RU,1613822808,75,64.75,177.4833,-31.0,6.71
Omsukchan,99,RU,1613822809,81,62.5333,155.8,-26.75,4.88
Poya,93,NC,1613822810,84,-21.35,165.15,79.16,5.17
Graaff-Reinet,66,ZA,1613822810,53,-32.2522,24.5308,80.01,4.0
Sorong,77,ID,1613822811,77,-0.8833,131.25,82.51,4.94
Trabzon Province,40,TR,1613822812,42,40.9167,39.8333,44.6,4.61
Isangel,99,VU,1613822812,82,-19.55,169.2667,79.99,8.37
Grindavik,90,IS,1613822813,93,63.8424,-22.4338,41.0,16.11
Maţāy,0,EG,1613822814,27,28.419,30.7792,67.62,13.69
Lakota,36,CI,1613822815,45,5.8528,-5.6883,94.08,1.28
Plettenberg Bay,90,ZA,1613822815,67,-34.0527,23.3716,69.42,8.55
Tyup,71,KG,1613822816,80,42.7276,78.3648,35.87,5.59
Fortuna,90,US,1613822817,100,40.5982,-124.1573,46.99,19.57
Kerema,85,PG,1613822817,80,-7.9631,145.7785,79.68,5.97
Banda Aceh,48,ID,1613822818,77,5.5577,95.3222,80.78,15.23
Kedrovyy,20,RU,1613822819,71,56.1667,91.8167,-0.4,11.18
Port Hawkesbury,90,CA,1613822819,79,45.6169,-61.3485,23.0,8.05
Wanaka,29,NZ,1613822820,52,-44.7,169.15,55.56,4.81
Pacific Grove,90,US,1613822579,76,36.6177,-121.9166,51.8,8.05
Santa Helena,24,BR,1613822821,73,-2.2311,-45.3,82.62,3.53
Bontang,89,ID,1613822749,80,0.1333,117.5,81.66,8.79
Nanortalik,70,GL,1613822823,91,60.1432,-45.2371,17.92,13.13
San Jerónimo,89,PE,1613822824,63,-11.9472,-75.2829,47.8,0.38
Inírida,100,CO,1613822825,96,3.8653,-67.9239,74.28,1.25
Nishihara,1,JP,1613822826,44,26.1842,127.7558,62.6,1.66
Kolokani,32,ML,1613822826,9,13.5728,-8.0339,94.96,14.05
Itaituba,75,BR,1613822827,100,-4.2761,-55.9836,77.0,5.28
Aba,15,NG,1613822534,26,5.1066,7.3667,86.0,10.36
Nynäshamn,97,SE,1613822828,93,58.9034,17.9479,39.99,3.0
Cabedelo,40,BR,1613822829,66,-6.9811,-34.8339,86.0,11.5
Nouakchott,0,MR,1613822536,19,18.0858,-15.9785,78.8,10.36
Khipro,19,PK,1613822830,11,25.8285,69.3772,90.97,3.8
Umba,16,RU,1613822831,90,66.6871,34.3429,-5.48,3.4
Cockburn Town,1,TC,1613822614,77,21.4612,-71.1419,77.18,15.3
Novikovo,100,RU,1613822832,93,51.1537,37.8879,16.09,8.03
Westport,90,US,1613822593,69,41.1415,-73.3579,30.2,11.5
Requena,90,ES,1613822834,72,39.4883,-1.1004,64.99,2.3
Khuzdar,22,PK,1613822834,17,27.7384,66.6434,75.52,9.31
Hong Kong,63,HK,1613822835,71,22.2855,114.1577,68.0,7.23
Itarema,73,BR,1613822836,72,-2.9248,-39.9167,82.89,11.81
Port Keats,77,AU,1613822836,83,-14.25,129.55,79.92,6.02
Arrondissement de Rennes,0,FR,1613822837,58,48.1667,-1.6667,61.0,23.02
